"metric","val","spl"
"acc",0.116166666666667,1
"binacc",0.699,1
"eacc",0.883833333333333,1
"ebinacc",0.301,1
"nll",2.30057302184841,1
"binnll",0.612004785187732,1
"rps",0.184319760753179,1
"cint",0.0332258345450374,1
"cslope",NA,1
"brier",0.210525094147411,1
"auc",0.5,1
"eauc",0.5,1
"qwk",0,1
"eqwk",1,1
"acc",0.12,2
"binacc",0.6805,2
"eacc",0.88,2
"ebinacc",0.3195,2
"nll",2.30091378479734,2
"binnll",0.626712100785471,2
"rps",0.183625965849697,2
"cint",-0.0547222016529144,2
"cslope",NA,2
"brier",0.217514406725956,2
"auc",0.5,2
"eauc",0.5,2
"qwk",0,2
"eqwk",1,2
"acc",0.112833333333333,3
"binacc",0.683166666666667,3
"eacc",0.887166666666667,3
"ebinacc",0.316833333333333,3
"nll",2.30123085977268,3
"binnll",0.624578360701895,3
"rps",0.185715360775198,3
"cint",-0.0214292775499384,3
"cslope",NA,3
"brier",0.21650103516087,3
"auc",0.5,3
"eauc",0.5,3
"qwk",0,3
"eqwk",1,3
"acc",0.117666666666667,4
"binacc",0.6835,4
"eacc",0.882333333333333,4
"ebinacc",0.3165,4
"nll",2.30098058462551,4
"binnll",0.624303988637984,4
"rps",0.185268670862461,4
"cint",-0.00249871574234493,4
"cslope",NA,4
"brier",0.216371090279345,4
"auc",0.5,4
"eauc",0.5,4
"qwk",0,4
"eqwk",1,4
"acc",0.1145,5
"binacc",0.690833333333333,5
"eacc",0.8855,5
"ebinacc",0.309166666666667,5
"nll",2.30154823951359,5
"binnll",0.618439948349622,5
"rps",0.18320921817032,5
"cint",0.0111724412934345,5
"cslope",NA,5
"brier",0.21358592405013,5
"auc",0.5,5
"eauc",0.5,5
"qwk",0,5
"eqwk",1,5
"acc",0.111833333333333,6
"binacc",0.692,6
"eacc",0.888166666666667,6
"ebinacc",0.308,6
"nll",2.30138479509771,6
"binnll",0.617514809144946,6
"rps",0.183836405960487,6
"cint",0.0316759266145446,6
"cslope",NA,6
"brier",0.213146160152549,6
"auc",0.5,6
"eauc",0.5,6
"qwk",0,6
"eqwk",1,6
